분쟁ID,연도,발생지,정부군(교전A),반군/적대측(교전B),분쟁원인,전쟁강도,분쟁유형,지역,사망자_추정치,사망자_최소,사망자_최대,확전이력,종료여부,사망자규모,분쟁지역명,분쟁시작일,분쟁종료일
11350,2005,방글라데시,방글라데시 정부,"PBCP, PBCP-J",정부/권력,소규모,내전,아시아,62.0,61.0,68.0,없음,진행중,소규모,,1994-04-24,
11350,2006,방글라데시,방글라데시 정부,PBCP-J,정부/권력,소규모,내전,아시아,57.0,57.0,58.0,없음,종료,소규모,,1994-04-24,2006-12-22
11447,1991,에티오피아,에티오피아 정부,IGLF,영토,소규모,내전,아프리카,100.0,100.0,100.0,없음,종료,중규모,Hararghe,1991-10-10,1991-10-10
11475,1991,미얀마,Myanmar (Burma) 정부,NSCN-K,영토,소규모,내전,아시아,150.0,150.0,150.0,없음,종료,중규모,Nagaland,1991-12-31,1991-12-31
11475,1995,미얀마,Myanmar (Burma) 정부,NSCN-K,영토,소규모,내전,아시아,33.0,33.0,33.0,없음,종료,소규모,Nagaland,1991-12-31,1995-05-03
11475,2000,미얀마,Myanmar (Burma) 정부,NSCN-K,영토,소규모,내전,아시아,43.0,43.0,43.0,없음,진행중,소규모,Nagaland,1991-12-31,
11475,2001,미얀마,Myanmar (Burma) 정부,NSCN-K,영토,소규모,내전,아시아,62.0,62.0,62.0,없음,종료,소규모,Nagaland,1991-12-31,2001-05-18
11475,2005,미얀마,Myanmar (Burma) 정부,NSCN-K,영토,소규모,내전,아시아,38.0,23.0,38.0,없음,진행중,소규모,Nagaland,1991-12-31,
11475,2006,미얀마,Myanmar (Burma) 정부,NSCN-K,영토,소규모,내전,아시아,92.0,92.0,97.0,없음,진행중,소규모,Nagaland,1991-12-31,
11475,2007,미얀마,Myanmar (Burma) 정부,NSCN-K,영토,소규모,내전,아시아,215.0,215.0,215.0,없음,종료,중규모,Nagaland,1991-12-31,2007-02-15
11487,2013,말레이시아,말레이시아 정부,Sultanate of Sulu,영토,소규모,내전,아시아,70.0,68.0,122.0,없음,종료,소규모,Sabah,2013-03-01,2013-04-24
11639,2024,"아프가니스탄, 파키스탄",아프가니스탄 정부,Government of Pakistan,영토,소규모,국제화내전,아시아,61.0,51.0,105.0,없음,진행중,소규모,Durand line,2005-01-03,
11884,1947,하이데라바드,Hyderabad 정부,CPI,정부/권력,전면전,내전,아시아,0.0,0.0,0.0,있음,진행중,미확인,,1947-06-30,
11884,1948,하이데라바드,Hyderabad 정부,CPI,정부/권력,전면전,내전,아시아,0.0,0.0,0.0,있음,종료,미확인,,1947-06-30,1948-09-18
13042,2012,시리아,시리아 정부,PYD,영토,소규모,내전,중동/북아프리카,46.0,39.0,51.0,없음,진행중,소규모,Rojava Kurdistan,2011-09-10,
13042,2013,시리아,시리아 정부,PYD,영토,소규모,내전,중동/북아프리카,78.0,73.0,82.0,없음,진행중,소규모,Rojava Kurdistan,2011-09-10,
13042,2014,시리아,시리아 정부,PYD,영토,소규모,내전,중동/북아프리카,52.0,37.0,61.0,없음,진행중,소규모,Rojava Kurdistan,2011-09-10,
13042,2015,시리아,시리아 정부,PYD,영토,소규모,내전,중동/북아프리카,84.0,81.0,86.0,없음,종료,소규모,Rojava Kurdistan,2011-09-10,2015-07-25
13219,2014,우크라이나,우크라이나 정부,Maidan,정부/권력,소규모,내전,유럽,88.0,88.0,107.0,없음,종료,소규모,,2014-01-22,2014-02-21
13243,2022,"러시아, 우크라이나",Russia (Soviet Union) 정부,Government of Ukraine,복합,전면전,국제화내전,유럽,91502.0,69229.0,166886.0,있음,진행중,대규모,Crimea,2014-03-18,
13243,2023,"러시아, 우크라이나",Russia (Soviet Union) 정부,Government of Ukraine,복합,전면전,국제화내전,유럽,75180.0,59676.0,135426.0,있음,진행중,대규모,Crimea,2014-03-18,
13243,2024,"러시아, 우크라이나",Russia (Soviet Union) 정부,Government of Ukraine,복합,전면전,국제화내전,유럽,75686.0,68784.0,121134.0,있음,진행중,대규모,Crimea,2014-03-18,
13246,2014,우크라이나,우크라이나 정부,DPR,영토,전면전,비국가분쟁,유럽,2276.0,2201.0,2652.0,있음,종료,대규모,Donetsk,2014-04-08,2014-09-15
13247,2014,우크라이나,우크라이나 정부,LPR,영토,전면전,비국가분쟁,유럽,1072.0,1048.0,1380.0,있음,종료,대규모,Lugansk,2014-05-04,2014-09-17
13306,2014,우크라이나,우크라이나 정부,United Armed Forces of Novorossiya,영토,전면전,비국가분쟁,유럽,1459.0,1435.0,1497.0,있음,진행중,대규모,Novorossiya,2014-08-09,
13306,2015,우크라이나,우크라이나 정부,"DPR, LPR, United Armed Forces of Novorossiya",영토,전면전,비국가분쟁,유럽,1890.0,1738.0,1947.0,있음,진행중,대규모,Novorossiya,2014-08-09,
13306,2016,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,비국가분쟁,유럽,697.0,488.0,766.0,있음,진행중,중규모,Novorossiya,2014-08-09,
13306,2017,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,비국가분쟁,유럽,447.0,422.0,497.0,있음,진행중,중규모,Novorossiya,2014-08-09,
13306,2018,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,비국가분쟁,유럽,243.0,168.0,257.0,있음,진행중,중규모,Novorossiya,2014-08-09,
13306,2019,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,비국가분쟁,유럽,311.0,259.0,311.0,있음,진행중,중규모,Novorossiya,2014-08-09,
13306,2020,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,비국가분쟁,유럽,196.0,113.0,257.0,있음,진행중,중규모,Novorossiya,2014-08-09,
13306,2021,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,비국가분쟁,유럽,208.0,167.0,213.0,있음,진행중,중규모,Novorossiya,2014-08-09,
13306,2022,우크라이나,우크라이나 정부,DPR,영토,소규모,비국가분쟁,유럽,43.0,40.0,47.0,있음,종료,소규모,Novorossiya,2014-08-09,2022-02-25
13324,2021,"키르기스스탄, 타지키스탄",키르기스스탄 정부,Government of Tajikistan,영토,소규모,국제화내전,아시아,56.0,56.0,56.0,없음,진행중,소규모,Common Border,2014-07-10,
13324,2022,"키르기스스탄, 타지키스탄",키르기스스탄 정부,Government of Tajikistan,영토,소규모,국제화내전,아시아,150.0,134.0,159.0,없음,종료,중규모,Common Border,2014-07-10,2022-09-18
13588,2015,러시아,Russia (Soviet Union) 정부,IS,영토,소규모,내전,유럽,55.0,55.0,57.0,없음,진행중,소규모,Islamic State,2015-03-21,
13588,2016,러시아,Russia (Soviet Union) 정부,IS,영토,소규모,내전,유럽,69.0,64.0,85.0,없음,진행중,소규모,Islamic State,2015-03-21,
13588,2017,러시아,Russia (Soviet Union) 정부,IS,영토,소규모,내전,유럽,53.0,53.0,76.0,없음,진행중,소규모,Islamic State,2015-03-21,
13588,2018,러시아,Russia (Soviet Union) 정부,IS,영토,소규모,내전,유럽,30.0,30.0,30.0,없음,진행중,소규모,Islamic State,2015-03-21,
13588,2019,러시아,Russia (Soviet Union) 정부,IS,영토,소규모,내전,유럽,26.0,26.0,27.0,없음,진행중,소규모,Islamic State,2015-03-21,
13588,2020,러시아,Russia (Soviet Union) 정부,IS,영토,소규모,내전,유럽,30.0,24.0,31.0,없음,종료,소규모,Islamic State,2015-03-21,2020-12-28
13588,2024,러시아,Russia (Soviet Union) 정부,IS,영토,소규모,내전,유럽,53.0,47.0,54.0,없음,진행중,소규모,Islamic State,2015-03-21,
13604,2013,시리아,시리아 정부,IS,영토,전면전,내전,중동/북아프리카,1422.0,1404.0,1642.0,있음,진행중,대규모,Islamic State,2013-03-26,
13604,2014,시리아,시리아 정부,IS,영토,전면전,내전,중동/북아프리카,7336.0,6977.0,8114.0,있음,진행중,대규모,Islamic State,2013-03-26,
13604,2015,시리아,시리아 정부,IS,영토,전면전,비국가분쟁,중동/북아프리카,10382.0,9975.0,10713.0,있음,진행중,대규모,Islamic State,2013-03-26,
13604,2016,시리아,시리아 정부,IS,영토,전면전,비국가분쟁,중동/북아프리카,10903.0,10614.0,11250.0,있음,진행중,대규모,Islamic State,2013-03-26,
13604,2017,시리아,시리아 정부,IS,영토,전면전,비국가분쟁,중동/북아프리카,11920.0,11663.0,13073.0,있음,진행중,대규모,Islamic State,2013-03-26,
13604,2018,시리아,시리아 정부,IS,영토,전면전,비국가분쟁,중동/북아프리카,4347.0,4340.0,4461.0,있음,진행중,대규모,Islamic State,2013-03-26,
13604,2019,시리아,시리아 정부,IS,영토,소규모,비국가분쟁,중동/북아프리카,523.0,522.0,636.0,있음,진행중,중규모,Islamic State,2013-03-26,
13604,2020,시리아,시리아 정부,IS,영토,전면전,비국가분쟁,중동/북아프리카,1076.0,771.0,1377.0,있음,진행중,대규모,Islamic State,2013-03-26,
13604,2021,시리아,시리아 정부,IS,영토,소규모,비국가분쟁,중동/북아프리카,680.0,680.0,774.0,있음,진행중,중규모,Islamic State,2013-03-26,
13604,2022,시리아,시리아 정부,IS,영토,소규모,비국가분쟁,중동/북아프리카,348.0,348.0,400.0,있음,진행중,중규모,Islamic State,2013-03-26,
13604,2023,시리아,시리아 정부,IS,영토,소규모,비국가분쟁,중동/북아프리카,459.0,459.0,565.0,있음,진행중,중규모,Islamic State,2013-03-26,
13604,2024,시리아,시리아 정부,IS,영토,소규모,비국가분쟁,중동/북아프리카,629.0,588.0,641.0,있음,진행중,중규모,Islamic State,2013-03-26,
13611,2015,말리,말리 정부,FLM,영토,소규모,내전,아프리카,44.0,44.0,59.0,없음,종료,소규모,Macina Empire,2015-01-05,2015-10-28
13637,2015,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,비국가분쟁,아시아,679.0,615.0,855.0,없음,진행중,중규모,Islamic State,2015-02-09,
13637,2016,아프가니스탄,아프가니스탄 정부,IS,영토,전면전,비국가분쟁,아시아,2141.0,2100.0,2544.0,있음,진행중,대규모,Islamic State,2015-02-09,
13637,2017,아프가니스탄,아프가니스탄 정부,IS,영토,전면전,비국가분쟁,아시아,2795.0,2738.0,3009.0,있음,진행중,대규모,Islamic State,2015-02-09,
13637,2018,아프가니스탄,아프가니스탄 정부,IS,영토,전면전,비국가분쟁,아시아,2842.0,2770.0,5149.0,있음,진행중,대규모,Islamic State,2015-02-09,
13637,2019,아프가니스탄,아프가니스탄 정부,IS,영토,전면전,비국가분쟁,아시아,1075.0,1045.0,1435.0,있음,진행중,대규모,Islamic State,2015-02-09,
13637,2020,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,비국가분쟁,아시아,316.0,279.0,356.0,있음,진행중,중규모,Islamic State,2015-02-09,
13637,2021,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,비국가분쟁,아시아,264.0,206.0,322.0,있음,진행중,중규모,Islamic State,2015-02-09,
13637,2022,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,내전,아시아,253.0,181.0,404.0,있음,진행중,중규모,Islamic State,2015-02-09,
13637,2023,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,내전,아시아,149.0,102.0,224.0,있음,진행중,중규모,Islamic State,2015-02-09,
13637,2024,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,내전,아시아,105.0,76.0,145.0,있음,진행중,중규모,Islamic State,2015-02-09,
13638,2015,카메룬,카메룬 정부,IS,영토,소규모,비국가분쟁,아프리카,283.0,283.0,315.0,없음,진행중,중규모,Islamic State,2015-03-19,
13638,2016,카메룬,카메룬 정부,IS,영토,소규모,내전,아프리카,189.0,189.0,206.0,없음,종료,중규모,Islamic State,2015-03-19,2016-10-06
13638,2019,카메룬,카메룬 정부,IS,영토,소규모,비국가분쟁,아프리카,135.0,129.0,153.0,없음,종료,중규모,Islamic State,2015-03-19,2019-09-17
13638,2021,카메룬,카메룬 정부,IS,영토,소규모,비국가분쟁,아프리카,62.0,56.0,134.0,없음,종료,소규모,Islamic State,2015-03-19,2021-11-28
13638,2023,카메룬,카메룬 정부,IS,영토,소규모,내전,아프리카,53.0,33.0,67.0,없음,종료,소규모,Islamic State,2015-03-19,2023-12-17
13639,2015,니제르,니제르 정부,IS,영토,소규모,비국가분쟁,아프리카,171.0,131.0,338.0,없음,진행중,중규모,Islamic State,2015-03-26,
13639,2016,니제르,니제르 정부,IS,영토,소규모,비국가분쟁,아프리카,274.0,274.0,281.0,없음,진행중,중규모,Islamic State,2015-03-26,
13639,2017,니제르,니제르 정부,IS,영토,소규모,비국가분쟁,아프리카,229.0,229.0,236.0,없음,진행중,중규모,Islamic State,2015-03-26,
13639,2018,니제르,니제르 정부,IS,영토,소규모,비국가분쟁,아프리카,74.0,71.0,113.0,없음,진행중,소규모,Islamic State,2015-03-26,
13639,2019,니제르,니제르 정부,IS,영토,소규모,비국가분쟁,아프리카,283.0,280.0,322.0,있음,진행중,중규모,Islamic State,2015-03-26,
13639,2020,니제르,니제르 정부,IS,영토,소규모,비국가분쟁,아프리카,512.0,510.0,550.0,있음,진행중,중규모,Islamic State,2015-03-26,
13639,2021,니제르,니제르 정부,IS,영토,소규모,비국가분쟁,아프리카,380.0,297.0,464.0,있음,진행중,중규모,Islamic State,2015-03-26,
13639,2022,니제르,니제르 정부,IS,영토,소규모,비국가분쟁,아프리카,323.0,262.0,358.0,있음,진행중,중규모,Islamic State,2015-03-26,
13639,2023,니제르,니제르 정부,IS,영토,소규모,비국가분쟁,아프리카,247.0,192.0,614.0,있음,진행중,중규모,Islamic State,2015-03-26,
13639,2024,니제르,니제르 정부,IS,영토,소규모,내전,아프리카,485.0,397.0,831.0,있음,진행중,중규모,Islamic State,2015-03-26,
13640,2015,차드,차드 정부,IS,영토,소규모,내전,아프리카,272.0,271.0,271.0,없음,종료,중규모,Islamic State,2015-05-27,2015-11-01
13640,2017,차드,차드 정부,IS,영토,소규모,내전,아프리카,57.0,57.0,219.0,없음,진행중,소규모,Islamic State,2015-05-27,
13640,2018,차드,차드 정부,IS,영토,소규모,내전,아프리카,108.0,108.0,109.0,없음,진행중,중규모,Islamic State,2015-05-27,
13640,2019,차드,차드 정부,IS,영토,소규모,내전,아프리카,144.0,144.0,166.0,없음,진행중,중규모,Islamic State,2015-05-27,
13640,2020,차드,차드 정부,IS,영토,소규모,내전,아프리카,143.0,143.0,696.0,없음,진행중,중규모,Islamic State,2015-05-27,
13640,2021,차드,차드 정부,IS,영토,소규모,내전,아프리카,55.0,55.0,82.0,없음,진행중,소규모,Islamic State,2015-05-27,
13640,2022,차드,차드 정부,IS,영토,소규모,내전,아프리카,35.0,34.0,66.0,없음,종료,소규모,Islamic State,2015-05-27,2022-11-22
13641,2015,나이지리아,나이지리아 정부,IS,영토,전면전,비국가분쟁,아프리카,2063.0,2060.0,3097.0,있음,진행중,대규모,Islamic State,2015-03-15,
13641,2016,나이지리아,나이지리아 정부,IS,영토,전면전,비국가분쟁,아프리카,2287.0,2287.0,2348.0,있음,진행중,대규모,Islamic State,2015-03-15,
13641,2017,나이지리아,나이지리아 정부,IS,영토,소규모,비국가분쟁,아프리카,817.0,817.0,1267.0,있음,진행중,중규모,Islamic State,2015-03-15,
13641,2018,나이지리아,나이지리아 정부,IS,영토,소규모,비국가분쟁,아프리카,836.0,693.0,1158.0,있음,진행중,중규모,Islamic State,2015-03-15,
13641,2019,나이지리아,나이지리아 정부,IS,영토,전면전,비국가분쟁,아프리카,1013.0,857.0,1597.0,있음,진행중,대규모,Islamic State,2015-03-15,
13641,2020,나이지리아,나이지리아 정부,IS,영토,전면전,비국가분쟁,아프리카,1559.0,1297.0,2469.0,있음,진행중,대규모,Islamic State,2015-03-15,
13641,2021,나이지리아,나이지리아 정부,IS,영토,전면전,비국가분쟁,아프리카,1597.0,1432.0,2494.0,있음,진행중,대규모,Islamic State,2015-03-15,
13641,2022,나이지리아,나이지리아 정부,IS,영토,전면전,비국가분쟁,아프리카,1052.0,932.0,1755.0,있음,진행중,대규모,Islamic State,2015-03-15,
13641,2023,나이지리아,나이지리아 정부,IS,영토,전면전,비국가분쟁,아프리카,1545.0,1279.0,1914.0,있음,진행중,대규모,Islamic State,2015-03-15,
13641,2024,나이지리아,나이지리아 정부,IS,영토,전면전,비국가분쟁,아프리카,1163.0,1051.0,1316.0,있음,진행중,대규모,Islamic State,2015-03-15,
13645,2015,예멘,Yemen (North Yemen) 정부,IS,영토,소규모,내전,중동/북아프리카,283.0,283.0,288.0,없음,종료,중규모,Islamic State,2015-03-20,2015-10-06
13645,2017,예멘,Yemen (North Yemen) 정부,IS,영토,소규모,내전,중동/북아프리카,26.0,5.0,26.0,없음,종료,소규모,Islamic State,2015-03-20,2017-05-18
13645,2020,예멘,Yemen (North Yemen) 정부,IS,영토,소규모,내전,중동/북아프리카,33.0,11.0,62.0,없음,종료,소규모,Islamic State,2015-03-20,2020-09-18
13646,2015,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,아프리카,42.0,40.0,117.0,없음,진행중,소규모,Northeastern Province and Coast,2015-03-13,
13646,2016,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,아프리카,49.0,49.0,83.0,없음,진행중,소규모,Northeastern Province and Coast,2015-03-13,
13646,2017,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,아프리카,85.0,83.0,110.0,없음,진행중,소규모,Northeastern Province and Coast,2015-03-13,
13646,2018,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,아프리카,69.0,59.0,147.0,없음,진행중,소규모,Northeastern Province and Coast,2015-03-13,
13646,2019,케냐,케냐 정부,Al-Shabaab,영토,소규모,비국가분쟁,아프리카,61.0,60.0,94.0,없음,진행중,소규모,Northeastern Province and Coast,2015-03-13,
13646,2020,케냐,케냐 정부,Al-Shabaab,영토,소규모,비국가분쟁,아프리카,94.0,94.0,142.0,없음,진행중,소규모,Northeastern Province and Coast,2015-03-13,
13646,2021,케냐,케냐 정부,Al-Shabaab,영토,소규모,비국가분쟁,아프리카,78.0,78.0,184.0,없음,진행중,소규모,Northeastern Province and Coast,2015-03-13,
13646,2022,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,아프리카,72.0,71.0,148.0,없음,진행중,소규모,Northeastern Province and Coast,2015-03-13,
13646,2023,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,아프리카,196.0,191.0,212.0,없음,진행중,중규모,Northeastern Province and Coast,2015-03-13,
13646,2024,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,아프리카,52.0,49.0,53.0,없음,진행중,소규모,Northeastern Province and Coast,2015-03-13,
13648,2015,이집트,이집트 정부,IS,영토,소규모,내전,중동/북아프리카,767.0,753.0,947.0,없음,진행중,중규모,Islamic State,2005-02-01,
13648,2016,이집트,이집트 정부,IS,영토,소규모,내전,중동/북아프리카,355.0,355.0,359.0,있음,진행중,중규모,Islamic State,2005-02-01,
13648,2017,이집트,이집트 정부,IS,영토,소규모,내전,중동/북아프리카,394.0,279.0,514.0,있음,진행중,중규모,Islamic State,2005-02-01,
13648,2018,이집트,이집트 정부,IS,영토,소규모,내전,중동/북아프리카,652.0,502.0,654.0,있음,진행중,중규모,Islamic State,2005-02-01,
13648,2019,이집트,이집트 정부,IS,영토,소규모,내전,중동/북아프리카,589.0,217.0,598.0,있음,진행중,중규모,Islamic State,2005-02-01,
13648,2020,이집트,이집트 정부,IS,영토,소규모,내전,중동/북아프리카,527.0,206.0,538.0,있음,진행중,중규모,Islamic State,2005-02-01,
13648,2021,이집트,이집트 정부,IS,영토,소규모,내전,중동/북아프리카,112.0,99.0,204.0,있음,진행중,중규모,Islamic State,2005-02-01,
13648,2022,이집트,이집트 정부,IS,영토,소규모,내전,중동/북아프리카,231.0,213.0,232.0,있음,종료,중규모,Islamic State,2005-02-01,2022-12-30
13653,2015,인도,인도 정부,UNLFW,영토,소규모,내전,아시아,161.0,98.0,192.0,없음,진행중,중규모,Western South East Asia,2015-04-19,
13653,2016,인도,인도 정부,UNLFW,영토,소규모,내전,아시아,47.0,47.0,69.0,없음,진행중,소규모,Western South East Asia,2015-04-19,
13653,2017,인도,인도 정부,UNLFW,영토,소규모,내전,아시아,39.0,39.0,41.0,없음,진행중,소규모,Western South East Asia,2015-04-19,
13653,2018,인도,인도 정부,UNLFW,영토,소규모,내전,아시아,27.0,26.0,28.0,없음,종료,소규모,Western South East Asia,2015-04-19,2018-12-03
13674,2016,방글라데시,방글라데시 정부,IS,영토,소규모,내전,아시아,41.0,41.0,41.0,없음,진행중,소규모,Islamic State,2015-11-04,
13674,2017,방글라데시,방글라데시 정부,IS,영토,소규모,내전,아시아,47.0,47.0,48.0,없음,종료,소규모,Islamic State,2015-11-04,2017-09-06
13675,2014,레바논,레바논 정부,IS,영토,소규모,내전,중동/북아프리카,126.0,126.0,126.0,없음,진행중,중규모,Islamic State,2014-06-25,
