분쟁ID,연도,발생지,정부군(교전A),반군/적대측(교전B),분쟁원인,전쟁강도,분쟁유형,지역,사망자_추정치
13639,2019,니제르,니제르 정부,IS,영토,소규모,국제화된 내전,,283
13639,2020,니제르,니제르 정부,IS,영토,소규모,국제화된 내전,,512
13639,2021,니제르,니제르 정부,IS,영토,소규모,국제화된 내전,,380
13639,2022,니제르,니제르 정부,IS,영토,소규모,국제화된 내전,,323
13639,2023,니제르,니제르 정부,IS,영토,소규모,국제화된 내전,,247
13639,2024,니제르,니제르 정부,IS,영토,소규모,내전,,485
13640,2015,차드,차드 정부,IS,영토,소규모,내전,,272
13640,2017,차드,차드 정부,IS,영토,소규모,내전,,57
13640,2018,차드,차드 정부,IS,영토,소규모,내전,,108
13640,2019,차드,차드 정부,IS,영토,소규모,내전,,144
13640,2020,차드,차드 정부,IS,영토,소규모,내전,,143
13640,2021,차드,차드 정부,IS,영토,소규모,내전,,55
13640,2022,차드,차드 정부,IS,영토,소규모,내전,,35
13641,2015,나이지리아,나이지리아 정부,IS,영토,전면전,국제화된 내전,,2063
13641,2016,나이지리아,나이지리아 정부,IS,영토,전면전,국제화된 내전,,2287
13641,2017,나이지리아,나이지리아 정부,IS,영토,소규모,국제화된 내전,,817
13641,2018,나이지리아,나이지리아 정부,IS,영토,소규모,국제화된 내전,,836
13641,2019,나이지리아,나이지리아 정부,IS,영토,전면전,국제화된 내전,,1013
13641,2020,나이지리아,나이지리아 정부,IS,영토,전면전,국제화된 내전,,1559
13641,2021,나이지리아,나이지리아 정부,IS,영토,전면전,국제화된 내전,,1597
13641,2022,나이지리아,나이지리아 정부,IS,영토,전면전,국제화된 내전,,1052
13641,2023,나이지리아,나이지리아 정부,IS,영토,전면전,국제화된 내전,,1545
13641,2024,나이지리아,나이지리아 정부,IS,영토,전면전,국제화된 내전,,1163
13645,2015,예멘,예멘 정부,IS,영토,소규모,내전,,283
13645,2017,예멘,예멘 정부,IS,영토,소규모,내전,,26
13645,2020,예멘,예멘 정부,IS,영토,소규모,내전,,33
13646,2015,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,,42
13646,2016,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,,49
13646,2017,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,,85
13646,2018,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,,69
13646,2019,케냐,케냐 정부,Al-Shabaab,영토,소규모,국제화된 내전,,61
13646,2020,케냐,케냐 정부,Al-Shabaab,영토,소규모,국제화된 내전,,94
13646,2021,케냐,케냐 정부,Al-Shabaab,영토,소규모,국제화된 내전,,78
13646,2022,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,,72
13646,2023,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,,196
13646,2024,케냐,케냐 정부,Al-Shabaab,영토,소규모,내전,,52
13648,2015,이집트,이집트 정부,IS,영토,소규모,내전,,767
13648,2016,이집트,이집트 정부,IS,영토,소규모,내전,,355
13648,2017,이집트,이집트 정부,IS,영토,소규모,내전,,394
13648,2018,이집트,이집트 정부,IS,영토,소규모,내전,,652
13648,2019,이집트,이집트 정부,IS,영토,소규모,내전,,589
13648,2020,이집트,이집트 정부,IS,영토,소규모,내전,,527
13648,2021,이집트,이집트 정부,IS,영토,소규모,내전,,112
13648,2022,이집트,이집트 정부,IS,영토,소규모,내전,,231
13653,2015,인도,인도 정부,UNLFW,영토,소규모,내전,,161
13653,2016,인도,인도 정부,UNLFW,영토,소규모,내전,,47
13653,2017,인도,인도 정부,UNLFW,영토,소규모,내전,,39
13653,2018,인도,인도 정부,UNLFW,영토,소규모,내전,,27
13674,2016,방글라데시,방글라데시 정부,IS,영토,소규모,내전,,41
13674,2017,방글라데시,방글라데시 정부,IS,영토,소규모,내전,,47
13675,2014,레바논,레바논 정부,IS,영토,소규모,내전,,126
13675,2015,레바논,레바논 정부,IS,영토,소규모,내전,,76
13675,2017,레바논,레바논 정부,IS,영토,소규모,내전,,70
13692,2001,"아프가니스탄, 영국, United States of America",아프가니스탄 정부,"United Kingdom, United States of America 정부",정부/권력,전면전,국가간,,1397
13694,2015,리비아,리비아 정부,IS,영토,소규모,내전,,118
13694,2016,리비아,리비아 정부,IS,영토,전면전,국제화된 내전,,1678
13694,2017,리비아,리비아 정부,IS,영토,소규모,국제화된 내전,,96
13694,2018,리비아,리비아 정부,IS,영토,소규모,국제화된 내전,,44
13694,2019,리비아,리비아 정부,IS,영토,소규모,국제화된 내전,,43
13721,2015,알제리,알제리 정부,IS,영토,소규모,내전,,26
13809,2016,시리아,시리아 정부,SDF,복합,소규모,내전,,152
13809,2018,시리아,시리아 정부,SDF,복합,소규모,내전,,35
13809,2023,시리아,시리아 정부,SDF,복합,소규모,내전,,40
13809,2024,시리아,시리아 정부,SDF,복합,소규모,내전,,78
13840,2019,Burkina Faso,Burkina Faso 정부,IS,영토,소규모,국제화된 내전,,78
13840,2020,Burkina Faso,Burkina Faso 정부,IS,영토,소규모,국제화된 내전,,160
13840,2021,Burkina Faso,Burkina Faso 정부,IS,영토,소규모,국제화된 내전,,170
13840,2022,Burkina Faso,Burkina Faso 정부,IS,영토,소규모,국제화된 내전,,402
13840,2023,Burkina Faso,Burkina Faso 정부,IS,영토,소규모,내전,,817
13840,2024,Burkina Faso,Burkina Faso 정부,IS,영토,소규모,내전,,63
13886,2016,요르단,요르단 정부,IS,영토,소규모,내전,,34
13902,2015,터키,터키 정부,IS,영토,소규모,내전,,26
13902,2016,터키,터키 정부,IS,영토,전면전,내전,,1107
13902,2017,터키,터키 정부,IS,영토,소규모,내전,,750
13936,2016,파키스탄,파키스탄 정부,IS,영토,소규모,내전,,68
13936,2017,파키스탄,파키스탄 정부,IS,영토,소규모,내전,,80
13936,2018,파키스탄,파키스탄 정부,IS,영토,소규모,내전,,51
13936,2019,파키스탄,파키스탄 정부,IS,영토,소규모,내전,,29
13936,2021,파키스탄,파키스탄 정부,IS,영토,소규모,내전,,26
13936,2022,파키스탄,파키스탄 정부,IS,영토,소규모,내전,,29
13936,2023,파키스탄,파키스탄 정부,IS,영토,소규모,내전,,86
14074,2018,소말리아,소말리아 정부,Republic of Somaliland,영토,소규모,내전,,121
14113,2017,말리,말리 정부,IS,영토,소규모,국제화된 내전,,47
14113,2018,말리,말리 정부,IS,영토,소규모,국제화된 내전,,119
14113,2019,말리,말리 정부,IS,영토,소규모,국제화된 내전,,181
14113,2020,말리,말리 정부,IS,영토,소규모,국제화된 내전,,63
14113,2021,말리,말리 정부,IS,영토,소규모,국제화된 내전,,110
14113,2022,말리,말리 정부,IS,영토,소규모,국제화된 내전,,323
14113,2023,말리,말리 정부,IS,영토,소규모,국제화된 내전,,182
14113,2024,말리,말리 정부,IS,영토,소규모,국제화된 내전,,128
14129,2017,카메룬,카메룬 정부,Ambazonia insurgents,영토,소규모,내전,,35
14129,2018,카메룬,카메룬 정부,Ambazonia insurgents,영토,소규모,내전,,754
14129,2019,카메룬,카메룬 정부,Ambazonia insurgents,영토,소규모,내전,,558
14129,2020,카메룬,카메룬 정부,Ambazonia insurgents,영토,소규모,내전,,401
14129,2021,카메룬,카메룬 정부,Ambazonia insurgents,영토,소규모,내전,,519
14129,2022,카메룬,카메룬 정부,Ambazonia insurgents,영토,소규모,내전,,375
14129,2023,카메룬,카메룬 정부,Ambazonia insurgents,영토,소규모,내전,,193
14129,2024,카메룬,카메룬 정부,Ambazonia insurgents,영토,소규모,내전,,168
14197,2019,소말리아,소말리아 정부,IS,영토,소규모,국제화된 내전,,33
14197,2020,소말리아,소말리아 정부,IS,영토,소규모,국제화된 내전,,41
14197,2021,소말리아,소말리아 정부,IS,영토,소규모,국제화된 내전,,53
14197,2024,소말리아,소말리아 정부,IS,영토,소규모,국제화된 내전,,30
14268,2017,이란,이란 정부,IS,영토,소규모,내전,,27
14275,2016,필리핀,필리핀 정부,IS,영토,소규모,내전,,155
14275,2017,필리핀,필리핀 정부,IS,영토,전면전,내전,,1363
14275,2018,필리핀,필리핀 정부,IS,영토,소규모,내전,,193
14275,2019,필리핀,필리핀 정부,IS,영토,소규모,내전,,136
14275,2020,필리핀,필리핀 정부,IS,영토,소규모,내전,,75
14275,2021,필리핀,필리핀 정부,IS,영토,소규모,내전,,71
14275,2022,필리핀,필리핀 정부,IS,영토,소규모,내전,,53
14275,2023,필리핀,필리핀 정부,IS,영토,소규모,내전,,79
14275,2024,필리핀,필리핀 정부,IS,영토,소규모,내전,,43
14333,2016,튀니지,튀니지 정부,IS,영토,소규모,내전,,71
14609,2018,"이란, 이스라엘",이란 정부,이스라엘 정부,정부/권력,소규모,국가간,,111
14609,2019,"이란, 이스라엘",이란 정부,이스라엘 정부,정부/권력,소규모,국가간,,138
14609,2020,"이란, 이스라엘",이란 정부,이스라엘 정부,정부/권력,소규모,국가간,,461
14609,2021,"이란, 이스라엘",이란 정부,이스라엘 정부,정부/권력,소규모,국가간,,166
14609,2022,"이란, 이스라엘",이란 정부,이스라엘 정부,정부/권력,소규모,국가간,,56
14609,2023,"이란, 이스라엘",이란 정부,이스라엘 정부,정부/권력,소규모,국가간,,160
14609,2024,"이란, 이스라엘",이란 정부,이스라엘 정부,정부/권력,소규모,국가간,,549
14692,2017,DR Congo (Zaire),DR Congo (Zaire) 정부,IS,영토,소규모,국제화된 내전,,96
14692,2018,DR Congo (Zaire),DR Congo (Zaire) 정부,IS,영토,소규모,국제화된 내전,,378
14692,2019,DR Congo (Zaire),DR Congo (Zaire) 정부,IS,영토,소규모,국제화된 내전,,335
14692,2020,DR Congo (Zaire),DR Congo (Zaire) 정부,IS,영토,소규모,국제화된 내전,,644
14692,2021,DR Congo (Zaire),DR Congo (Zaire) 정부,IS,영토,소규모,국제화된 내전,,616
14692,2022,DR Congo (Zaire),DR Congo (Zaire) 정부,IS,영토,소규모,국제화된 내전,,914
14692,2023,DR Congo (Zaire),DR Congo (Zaire) 정부,IS,영토,소규모,국제화된 내전,,348
14692,2024,DR Congo (Zaire),DR Congo (Zaire) 정부,IS,영토,소규모,국제화된 내전,,150
14845,2019,모잠비크,모잠비크 정부,IS,영토,소규모,내전,,194
14845,2020,모잠비크,모잠비크 정부,IS,영토,소규모,내전,,939
14845,2021,모잠비크,모잠비크 정부,IS,영토,소규모,국제화된 내전,,867
14845,2022,모잠비크,모잠비크 정부,IS,영토,소규모,국제화된 내전,,378
14845,2023,모잠비크,모잠비크 정부,IS,영토,소규모,국제화된 내전,,176
14845,2024,모잠비크,모잠비크 정부,IS,영토,소규모,국제화된 내전,,151
14935,2019,에티오피아,에티오피아 정부,Military faction (forces of Asaminew Tsige),영토,소규모,내전,,27
15183,2020,탄자니아,탄자니아 정부,IS,영토,소규모,내전,,25
15256,2022,Benin,Benin 정부,JNIM,정부/권력,소규모,내전,,30
15256,2023,Benin,Benin 정부,JNIM,정부/권력,소규모,내전,,28
15256,2024,Benin,Benin 정부,JNIM,정부/권력,소규모,내전,,77
15283,2015,중앙아프리카공화국,중앙아프리카공화국 정부,FPRC,영토,소규모,국제화된 내전,,27
15283,2023,중앙아프리카공화국,중앙아프리카공화국 정부,MPC,영토,소규모,국제화된 내전,,31
15438,2022,우간다,우간다 정부,IS,영토,소규모,내전,,25
16038,2023,말리,말리 정부,FLA,복합,소규모,내전,,170
16038,2024,말리,말리 정부,FLA,복합,소규모,국제화된 내전,,123
16069,2023,에티오피아,에티오피아 정부,Fano,복합,전면전,내전,,1218
16069,2024,에티오피아,에티오피아 정부,Fano,복합,전면전,내전,,2139
16099,2024,"영국, United States of America, 예멘","United Kingdom, United States of America 정부",예멘 정부,영토,소규모,국가간,,117
16292,2018,타지키스탄,타지키스탄 정부,IS,영토,소규모,내전,,52
16292,2019,타지키스탄,타지키스탄 정부,IS,영토,소규모,내전,,49
16379,2024,소말리아,소말리아 정부,Jubaland State of Somalia,영토,소규모,내전,,75
205,1990,이란,이란 정부,KDPI,영토,소규모,내전,,31
205,1993,이란,이란 정부,KDPI,영토,소규모,내전,,110
205,1996,이란,이란 정부,KDPI,영토,소규모,내전,,27
205,2016,이란,이란 정부,KDPI,영토,소규모,내전,,30
205,2018,이란,이란 정부,KDPI,영토,소규모,내전,,44
209,1989,필리핀,필리핀 정부,"CPP, Military faction (forces of Honasan, Abenina & Zumel)",정부/권력,소규모,내전,,822
209,1990,필리핀,필리핀 정부,"CPP, Military faction (forces of Honasan, Abenina & Zumel)",정부/권력,전면전,내전,,1175
209,1991,필리핀,필리핀 정부,CPP,정부/권력,전면전,내전,,1514
209,1992,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,430
209,1993,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,99
209,1994,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,69
209,1995,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,36
209,1997,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,32
209,1999,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,93
209,2000,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,140
209,2001,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,142
209,2002,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,280
209,2003,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,231
209,2004,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,270
209,2005,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,234
209,2006,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,310
209,2007,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,132
209,2008,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,184
209,2009,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,377
209,2010,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,258
209,2011,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,204
209,2012,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,182
209,2013,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,165
209,2014,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,190
209,2015,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,168
209,2016,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,92
209,2017,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,177
209,2018,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,144
209,2019,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,138
209,2020,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,165
209,2021,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,195
209,2022,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,166
209,2023,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,164
209,2024,필리핀,필리핀 정부,CPP,정부/권력,소규모,내전,,133
218,1989,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,25
218,1990,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,28
218,1991,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,99
218,1992,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,25
218,1994,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,42
218,1996,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,35
218,1997,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,127
218,1998,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,147
218,1999,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,934
218,2000,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,225
218,2001,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,48
218,2002,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,212
218,2003,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,237
218,2013,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,31
218,2014,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,49
218,2015,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,63
218,2016,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,100
218,2017,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,151
218,2018,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,129
218,2019,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,164
218,2020,"인도, 파키스탄",인도 정부,파키스탄 정부,영토,소규모,국가간,,162
220,1989,파라과이,파라과이 정부,Military faction (forces of Andres Rodriguez),정부/권력,소규모,내전,,150
221,1989,미얀마,미얀마 정부,KNU,영토,전면전,내전,,1304
221,1990,미얀마,미얀마 정부,KNU,영토,소규모,내전,,393
221,1991,미얀마,미얀마 정부,KNU,영토,소규모,내전,,552
221,1992,미얀마,미얀마 정부,KNU,영토,전면전,내전,,1163
221,1994,미얀마,미얀마 정부,KNU,영토,소규모,내전,,25
221,1995,미얀마,미얀마 정부,KNU,영토,소규모,내전,,110
221,1997,미얀마,미얀마 정부,KNU,영토,소규모,내전,,41
221,1998,미얀마,미얀마 정부,KNU,영토,소규모,내전,,36
221,2000,미얀마,미얀마 정부,"God's Army, KNU",영토,소규모,내전,,114
221,2001,미얀마,미얀마 정부,KNU,영토,소규모,내전,,36
221,2002,미얀마,미얀마 정부,KNU,영토,소규모,내전,,110
221,2003,미얀마,미얀마 정부,KNU,영토,소규모,내전,,38
221,2004,미얀마,미얀마 정부,KNU,영토,소규모,내전,,27
221,2005,미얀마,미얀마 정부,KNU,영토,소규모,내전,,42
221,2006,미얀마,미얀마 정부,KNU,영토,소규모,내전,,104
221,2007,미얀마,미얀마 정부,KNU,영토,소규모,내전,,104
221,2008,미얀마,미얀마 정부,KNU,영토,소규모,내전,,33
221,2009,미얀마,미얀마 정부,KNU,영토,소규모,내전,,63
221,2010,미얀마,미얀마 정부,"DKBA 5, KNU",영토,소규모,내전,,121
221,2011,미얀마,미얀마 정부,"DKBA 5, KNU",영토,소규모,내전,,334
221,2013,미얀마,미얀마 정부,DKBA 5,영토,소규모,내전,,41
